2026-01-05 21:37:52 - trend_detector - INFO - XAUUSDm: [OK] TREND SIGNAL = SHORT (SMA20=4442.67005 < SMA50=4442.81182, diff=-0.0032%, RSI=66.1)
2026-01-05 21:37:52 - trend_detector - INFO - XAUAUDm: [OK] TREND SIGNAL = SHORT (SMA20=6612.51250 < SMA50=6612.76358, diff=-0.0038%, RSI=65.5)
2026-01-05 21:37:52 - trend_detector - INFO - XAUEURm: [OK] TREND SIGNAL = SHORT (SMA20=3786.66170 < SMA50=3787.06570, diff=-0.0107%, RSI=67.1)
2026-01-05 21:37:53 - trend_detector - INFO - XAUGBPm: [OK] TREND SIGNAL = LONG (SMA20=3283.08960 > SMA50=3282.35026, diff=0.0225%, RSI=39.9)
2026-01-05 21:37:53 - trend_detector - INFO - EURUSDm: [OK] TREND SIGNAL = LONG (SMA20=1.17271 > SMA50=1.17261, diff=0.0082%, RSI=58.7)
2026-01-05 21:37:53 - trend_detector - INFO - AUDUSDm: [OK] TREND SIGNAL = LONG (SMA20=0.67160 > SMA50=0.67158, diff=0.0018%, RSI=54.8)
2026-01-05 21:37:53 - trend_detector - INFO - GBPUSDm: [OK] TREND SIGNAL = SHORT (SMA20=1.35439 < SMA50=1.35441, diff=-0.0013%, RSI=54.9)
2026-01-05 21:37:53 - trend_detector - INFO - USDJPYm: [OK] TREND SIGNAL = SHORT (SMA20=156.20370 < SMA50=156.22440, diff=-0.0133%, RSI=31.8)
2026-01-05 21:37:53 - trend_detector - INFO - US30_x10m: [OK] TREND SIGNAL = SHORT (SMA20=49164.76500 < SMA50=49181.80600, diff=-0.0346%, RSI=58.6)
2026-01-05 21:37:54 - trend_detector - INFO - US30m: [OK] TREND SIGNAL = LONG (SMA20=49125.94000 > SMA50=49101.15600, diff=0.0505%, RSI=77.8)
2026-01-05 21:37:54 - trend_detector - INFO - USTEC_x100m: [OK] TREND SIGNAL = LONG (SMA20=25464.18400 > SMA50=25460.42560, diff=0.0148%, RSI=19.9)
2026-01-05 21:37:54 - trend_detector - INFO - USTECm: [OK] TREND SIGNAL = LONG (SMA20=25464.18400 > SMA50=25460.42560, diff=0.0148%, RSI=19.9)
2026-01-05 21:37:54 - trend_detector - INFO - US500_x100m: [OK] TREND SIGNAL = SHORT (SMA20=6915.64150 < SMA50=6916.07200, diff=-0.0062%, RSI=28.5)
2026-01-05 21:37:54 - trend_detector - INFO - US500m: [OK] TREND SIGNAL = SHORT (SMA20=6915.64150 < SMA50=6916.07200, diff=-0.0062%, RSI=28.5)
